"","x"
"1254","ODR4"
"1255","OCLM"
"1256","PTGS2"
"1257","PLA2G4A"
"1258","ERVMER61-1"
"1259","RGS18"
"1260","AL390957.1"
"1261","AL136987.1"
"1262","RGS1"
"1263","RGS13"
"1264","AL136454.1"
"1265","RGS2"
"1266","UCHL5"
"1267","TROVE2"
"1268","GLRX2"
"1269","CDC73"
"1270","B3GALT2"
"1271","KCNT2"
"1272","CFH"
"1273","ASPM"
"1274","ZBTB41"
"1275","DENND1B"
"1276","C1orf53"
"1277","NEK7"
"1278","PTPRC"
"1279","AL157402.2"
"1280","MIR181A1HG"
"1281","ZNF281"
"1282","AL359834.1"
"1283","KIF14"
"1284","DDX59"
"1285","CAMSAP2"
"1286","GPR25"
"1287","INAVA"
"1288","KIF21B"
"1289","ASCL5"
"1290","TMEM9"
"1291","PHLDA3"
"1292","CSRP1"
"1293","AC096677.1"
"1294","NAV1"
"1295","IPO9-AS1"
"1296","IPO9"
"1297","SHISA4"
"1298","TIMM17A"
"1299","RNPEP"
"1300","GPR37L1"
"1301","ARL8A"
"1302","PTPN7"
"1303","LGR6"
"1304","UBE2T"
"1305","PPP1R12B"
"1306","KDM5B"
"1307","PCAT6"
"1308","RABIF"
"1309","KLHL12"
"1310","ADIPOR1"
"1311","CYB5R1"
"1312","TMEM183A"
"1313","PPFIA4"
"1314","CHI3L1"
"1315","LINC01353"
"1316","LINC01136"
"1317","BTG2"
"1318","ATP2B4"
"1319","LAX1"
"1320","ZC3H11A"
"1321","ZBED6"
"1322","SNRPE"
"1323","SOX13"
"1324","ETNK2"
"1325","PPP1R15B"
"1326","PIK3C2B"
"1327","MDM4"
"1328","CNTN2"
"1329","TMEM81"
"1330","RBBP5"
"1331","DSTYK"
"1332","TMCC2"
"1333","NUAK2"
"1334","KLHDC8A"
"1335","CDK18"
"1336","MFSD4A"
"1337","ELK4"
"1338","NUCKS1"
"1339","RAB29"
"1340","SLC41A1"
"1341","PM20D1"
"1342","FAM72A"
"1343","SRGAP2"
"1344","IKBKE"
