"","x"
"808","LRRIQ3"
"809","FPGT"
"810","FPGT-TNNI3K"
"811","TNNI3K"
"812","LRRC53"
"813","ERICH3"
"814","AC135803.1"
"815","CRYZ"
"816","TYW3"
"817","SLC44A5"
"818","ACADM"
"819","RABGGTB"
"820","MSH4"
"821","ST6GALNAC3"
"822","ST6GALNAC5"
"823","PIGK"
"824","AK5"
"825","AC118549.1"
"826","USP33"
"827","MIGA1"
"828","NEXN-AS1"
"829","NEXN"
"830","FUBP1"
"831","DNAJB4"
"832","GIPC2"
"833","AC103591.3"
"834","IFI44L"
"835","IFI44"
"836","ADGRL4"
"837","ADGRL2"
"838","LINC01725"
"839","TTLL7"
"840","AL359504.2"
"841","PRKACB"
"842","SAMD13"
"843","DNASE2B"
"844","RPF1"
"845","GNG5"
"846","SPATA1"
"847","CTBS"
"848","LINC01555"
"849","SSX2IP"
"850","MCOLN2"
"851","WDR63"
"852","MCOLN3"
"853","SYDE2"
"854","C1orf52"
"855","BCL10"
"856","AL078459.1"
"857","DDAH1"
"858","AL360219.1"
"859","AC092807.3"
"860","AC092807.2"
"861","CYR61"
"862","ZNHIT6"
"863","COL24A1"
"864","AL136382.1"
"865","ODF2L"
"866","AL049597.2"
"867","SH3GLB1"
"868","SELENOF"
"869","HS2ST1"
"870","LINC01140"
"871","LMO4"
"872","LINC01364"
"873","PKN2-AS1"
"874","PKN2"
"875","GTF2B"
"876","KYAT3"
"877","RBMXL1"
"878","GBP3"
"879","GBP1"
"880","GBP2"
"881","GBP4"
"882","AC099063.4"
"883","GBP5"
"884","GBP6"
"885","LRRC8B"
"886","LRRC8C-DT"
"887","LRRC8C"
"888","AC099568.2"
"889","LRRC8D"
"890","ZNF326"
"891","LINC01763"
"892","ZNF644"
"893","HFM1"
"894","CDC7"
"895","TGFBR3"
"896","EPHX4"
"897","BTBD8"
"898","AC104836.1"
"899","GLMN"
"900","RPAP2"
"901","EVI5"
"902","RPL5"
"903","FAM69A"
"904","MTF2"
"905","TMED5"
"906","CCDC18"
"907","DR1"
"908","FNBP1L"
"909","BCAR3"
"910","DNTTIP2"
"911","GCLM"
"912","ARHGAP29"
"913","ABCD3"
"914","F3"
"915","AC093117.1"
"916","SLC44A3"
"917","CNN3"
